,案號,區域,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
0,第7案,全國,7955753,2109157,10064910,715140,10780050,19757067,54.56%,40.27%
0,第7案,臺北市,924026,277072,1201098,77356,1278454,2228430,57.37%,41.47%
0,第7案,臺北市松山區,72344,21698,94042,5769,99811,169278,58.96%,42.74%
0,第7案,臺北市信義區,80160,23245,103405,6057,109462,190444,57.48%,42.09%
0,第7案,臺北市大安區,104681,32294,136975,7388,144363,252645,57.14%,41.43%
0,第7案,臺北市中山區,78649,25050,103699,7022,110721,195148,56.74%,40.3%
0,第7案,臺北市中正區,54089,16359,70448,4232,74680,128292,58.21%,42.16%
0,第7案,臺北市大同區,42497,14769,57266,4486,61752,107557,57.41%,39.51%
0,第7案,臺北市萬華區,64385,19585,83970,6622,90592,164020,55.23%,39.25%
0,第7案,臺北市文山區,101174,26288,127462,7798,135260,227211,59.53%,44.53%
0,第7案,臺北市南港區,43217,12009,55226,3158,58384,101907,57.29%,42.41%
0,第7案,臺北市內湖區,101149,28663,129812,7239,137051,236824,57.87%,42.71%
0,第7案,臺北市士林區,96156,31493,127649,9864,137513,241854,56.86%,39.76%
0,第7案,臺北市北投區,85525,25619,111144,7721,118865,213250,55.74%,40.11%
0,第7案,新北市,1346167,373414,1719581,127273,1846854,3375513,54.71%,39.88%
0,第7案,新北市板橋區,183642,54962,238604,19309,257913,463411,55.66%,39.63%
0,第7案,新北市三重區,128111,39417,167528,16104,183632,329846,55.67%,38.84%
0,第7案,新北市中和區,146208,37338,183546,12119,195665,355978,54.97%,41.07%
0,第7案,新北市永和區,83228,20414,103642,6419,110061,187798,58.61%,44.32%
0,第7案,新北市新莊區,140045,41204,181249,13774,195023,344981,56.53%,40.59%
0,第7案,新北市新店區,113797,26226,140023,8228,148251,264053,56.14%,43.1%
0,第7案,新北市樹林區,60667,17206,77873,5482,83355,152102,54.8%,39.89%
0,第7案,新北市鶯歌區,27167,7924,35091,2344,37435,71645,52.25%,37.92%
0,第7案,新北市三峽區,35739,10099,45838,3190,49028,94291,52%,37.9%
0,第7案,新北市淡水區,56960,15439,72399,4367,76766,147272,52.13%,38.68%
0,第7案,新北市汐止區,67547,18065,85612,5665,91277,173831,52.51%,38.86%
0,第7案,新北市瑞芳區,12211,3277,15488,1236,16724,35036,47.73%,34.85%
0,第7案,新北市土城區,78924,22140,101064,7807,108871,200783,54.22%,39.31%
0,第7案,新北市蘆洲區,62988,19193,82181,6888,89069,167457,53.19%,37.61%
0,第7案,新北市五股區,27379,7871,35250,2856,38106,72443,52.6%,37.79%
0,第7案,新北市泰山區,26020,6947,32967,2173,35140,64252,54.69%,40.5%
0,第7案,新北市林口區,36042,9434,45476,2656,48132,86203,55.84%,41.81%
0,第7案,新北市深坑區,8193,2201,10394,716,11110,20624,53.87%,39.73%
0,第7案,新北市石碇區,2358,719,3077,309,3386,6861,49.35%,34.37%
0,第7案,新北市坪林區,2075,535,2610,311,2921,5891,49.58%,35.22%
0,第7案,新北市三芝區,6999,1927,8926,704,9630,20119,47.87%,34.79%
0,第7案,新北市石門區,3899,1018,4917,509,5426,10528,51.54%,37.03%
0,第7案,新北市八里區,12684,3493,16177,1263,17440,32970,52.9%,38.47%
0,第7案,新北市平溪區,1428,412,1840,190,2030,4321,46.98%,33.05%
0,第7案,新北市雙溪區,2739,737,3476,373,3849,7999,48.12%,34.24%
0,第7案,新北市貢寮區,3309,1075,4384,423,4807,11279,42.62%,29.34%
0,第7案,新北市金山區,6853,1860,8713,843,9556,18978,50.35%,36.11%
0,第7案,新北市萬里區,6883,1811,8694,854,9548,19297,49.48%,35.67%
0,第7案,新北市烏來區,2072,470,2542,161,2703,5264,51.35%,39.36%
0,第7案,桃園市,697528,173333,870861,48893,919754,1801823,51.05%,38.71%
0,第7案,桃園市桃園區,135663,36174,171837,9359,181196,359790,50.36%,37.71%
0,第7案,桃園市中壢區,134509,31525,166034,8758,174792,334402,52.27%,40.22%
0,第7案,桃園市大溪區,30058,7843,37901,2974,40875,78285,52.21%,38.4%
0,第7案,桃園市楊梅區,54109,12102,66211,3373,69584,137917,50.45%,39.23%
0,第7案,桃園市蘆竹區,48141,12964,61105,3805,64910,129252,50.22%,37.25%
0,第7案,桃園市大園區,26894,7155,34049,2005,36054,73900,48.79%,36.39%
0,第7案,桃園市龜山區,47936,12769,60705,3366,64071,131702,48.65%,36.4%
0,第7案,桃園市八德區,62058,15724,77782,4842,82624,165065,50.06%,37.6%
0,第7案,桃園市龍潭區,42077,9102,51179,2699,53878,101574,53.04%,41.42%
0,第7案,桃園市平鎮區,74739,17335,92074,4474,96548,183560,52.6%,40.72%
0,第7案,桃園市新屋區,17090,4471,21561,1267,22828,41461,55.06%,41.22%
0,第7案,桃園市觀音區,20514,5326,25840,1616,27456,55149,49.79%,37.2%
0,第7案,桃園市復興區,3740,843,4583,355,4938,9766,50.56%,38.3%
0,第7案,臺中市,1013174,234816,1247990,71112,1319102,2295642,57.46%,44.13%
0,第7案,臺中市中區,6132,1541,7673,468,8141,14696,55.4%,41.73%
0,第7案,臺中市東區,28395,6994,35389,2147,37536,64291,58.38%,44.17%
0,第7案,臺中市南區,48518,11525,60043,3309,63352,103643,61.13%,46.81%
0,第7案,臺中市西區,41855,10696,52551,2576,55127,95040,58%,44.04%
0,第7案,臺中市北區,53751,12471,66222,3239,69461,124621,55.74%,43.13%
0,第7案,臺中市西屯區,82825,18412,101237,4948,106185,183814,57.77%,45.06%
0,第7案,臺中市南屯區,63052,14504,77556,3946,81502,135448,60.17%,46.55%
0,第7案,臺中市北屯區,100833,22423,123256,6126,129382,227720,56.82%,44.28%
0,第7案,臺中市豐原區,61483,15505,76988,4660,81648,136658,59.75%,44.99%
0,第7案,臺中市東勢區,18958,4311,23269,1783,25052,43181,58.02%,43.9%
0,第7案,臺中市大甲區,27122,6558,33680,2271,35951,63069,57%,43%
0,第7案,臺中市清水區,32206,7100,39306,2489,41795,71528,58.43%,45.03%
0,第7案,臺中市沙鹿區,32234,7425,39659,2329,41988,74207,56.58%,43.44%
0,第7案,臺中市梧棲區,20303,4831,25134,1659,26793,47040,56.96%,43.16%
0,第7案,臺中市后里區,20022,4396,24418,1587,26005,44962,57.84%,44.53%
0,第7案,臺中市神岡區,24223,5774,29997,1950,31947,54565,58.55%,44.39%
0,第7案,臺中市潭子區,39569,8853,48422,2553,50975,89487,56.96%,44.22%
0,第7案,臺中市大雅區,33608,7469,41077,2236,43313,77189,56.11%,43.54%
0,第7案,臺中市新社區,8246,1889,10135,651,10786,20860,51.71%,39.53%
0,第7案,臺中市石岡區,5735,1379,7114,477,7591,12880,58.94%,44.53%
0,第7案,臺中市外埔區,12116,2667,14783,912,15695,27059,58%,44.78%
0,第7案,臺中市大安區,7288,1691,8979,734,9713,16520,58.8%,44.12%
0,第7案,臺中市烏日區,27379,6443,33822,2087,35909,61705,58.19%,44.37%
0,第7案,臺中市大肚區,21090,4776,25866,1563,27429,47457,57.8%,44.44%
0,第7案,臺中市龍井區,26747,6871,33618,1884,35502,63584,55.83%,42.07%
0,第7案,臺中市霧峰區,25277,5735,31012,2276,33288,55225,60.28%,45.77%
0,第7案,臺中市太平區,66181,14725,80906,4802,85708,157926,54.27%,41.91%
0,第7案,臺中市大里區,73521,16988,90509,5141,95650,171769,55.69%,42.8%
0,第7案,臺中市和平區,4505,864,5369,309,5678,9498,59.78%,47.43%
0,第7案,臺南市,572230,167275,739505,59206,798711,1594821,50.08%,35.88%
0,第7案,臺南市新營區,23334,6243,29577,1931,31508,64949,48.51%,35.93%
0,第7案,臺南市鹽水區,7197,2115,9312,884,10196,22121,46.09%,32.53%
0,第7案,臺南市白河區,7115,2194,9309,945,10254,24894,41.19%,28.58%
0,第7案,臺南市柳營區,6416,1700,8116,880,8996,18804,47.84%,34.12%
0,第7案,臺南市後壁區,6384,1789,8173,1083,9256,20841,44.41%,30.63%
0,第7案,臺南市東山區,4639,1339,5978,743,6721,18471,36.39%,25.12%
0,第7案,臺南市麻豆區,12768,3962,16730,1110,17840,37963,46.99%,33.63%
0,第7案,臺南市下營區,6734,1827,8561,882,9443,20947,45.08%,32.15%
0,第7案,臺南市六甲區,6274,1934,8208,904,9112,19144,47.6%,32.77%
0,第7案,臺南市官田區,6127,1935,8062,681,8743,18675,46.82%,32.81%
0,第7案,臺南市大內區,2868,708,3576,450,4026,8654,46.52%,33.14%
0,第7案,臺南市佳里區,19007,4960,23967,1833,25800,50407,51.18%,37.71%
0,第7案,臺南市學甲區,7444,2145,9589,862,10451,22567,46.31%,32.99%
0,第7案,臺南市西港區,7029,1898,8927,665,9592,21564,44.48%,32.6%
0,第7案,臺南市七股區,6088,1601,7689,715,8404,19950,42.13%,30.52%
0,第7案,臺南市將軍區,5144,1406,6550,631,7181,17754,40.45%,28.97%
0,第7案,臺南市北門區,2791,714,3505,286,3791,9925,38.2%,28.12%
0,第7案,臺南市新化區,13968,3880,17848,1819,19667,37296,52.73%,37.45%
0,第7案,臺南市善化區,14134,4332,18466,1553,20019,39950,50.11%,35.38%
0,第7案,臺南市新市區,11296,3511,14807,1203,16010,30386,52.69%,37.18%
0,第7案,臺南市安定區,9675,2801,12476,1199,13675,26104,52.39%,37.06%
0,第7案,臺南市山上區,1960,542,2502,264,2766,6511,42.48%,30.1%
0,第7案,臺南市玉井區,4278,1046,5324,470,5794,12357,46.89%,34.62%
0,第7案,臺南市楠西區,2647,696,3343,312,3655,8528,42.86%,31.04%
0,第7案,臺南市南化區,2581,694,3275,343,3618,7786,46.47%,33.15%
0,第7案,臺南市左鎮區,1315,348,1663,246,1909,4418,43.21%,29.76%
0,第7案,臺南市仁德區,24241,6852,31093,2493,33586,64632,51.96%,37.51%
0,第7案,臺南市歸仁區,21131,6313,27444,2191,29635,57387,51.64%,36.82%
0,第7案,臺南市關廟區,11016,3138,14154,1190,15344,29913,51.3%,36.83%
0,第7案,臺南市龍崎區,1201,330,1531,164,1695,3713,45.65%,32.35%
0,第7案,臺南市永康區,73031,20165,93196,6228,99424,195001,50.99%,37.45%
0,第7案,臺南市東區,59256,18165,77421,5127,82548,153359,53.83%,38.64%
0,第7案,臺南市南區,37899,11973,49872,4423,54295,108650,49.97%,34.88%
0,第7案,臺南市北區,41806,12882,54688,3681,58369,110906,52.63%,37.69%
0,第7案,臺南市安南區,58644,17005,75649,6515,82164,159654,51.46%,36.73%
0,第7案,臺南市安平區,19987,5922,25909,1649,27558,55379,49.76%,36.09%
0,第7案,臺南市中西區,24805,8210,33015,2651,35666,65261,54.65%,38.01%
0,第7案,高雄市,990802,272337,1263139,92579,1355718,2353342,57.61%,42.1%
0,第7案,高雄市鹽埕區,8437,2797,11234,652,11886,21617,54.98%,39.03%
0,第7案,高雄市鼓山區,49511,13531,63042,3914,66956,114979,58.23%,43.06%
0,第7案,高雄市左營區,73230,18003,91233,5165,96398,161367,59.74%,45.38%
0,第7案,高雄市楠梓區,66374,17502,83876,7019,90895,153132,59.36%,43.34%
0,第7案,高雄市三民區,121925,35486,157411,10419,167830,289519,57.97%,42.11%
0,第7案,高雄市新興區,18956,5836,24792,1698,26490,44355,59.72%,42.74%
0,第7案,高雄市前金區,10022,3181,13203,900,14103,23928,58.94%,41.88%
0,第7案,高雄市苓雅區,62964,18917,81881,5252,87133,146786,59.36%,42.9%
0,第7案,高雄市前鎮區,66683,18986,85669,7156,92825,161797,57.37%,41.21%
0,第7案,高雄市旗津區,8332,2706,11038,1261,12299,24860,49.47%,33.52%
0,第7案,高雄市小港區,55974,15327,71301,4956,76257,132733,57.45%,42.17%
0,第7案,高雄市鳳山區,130829,33944,164773,11240,176013,300510,58.57%,43.54%
0,第7案,高雄市林園區,23394,6249,29643,2480,32123,59129,54.33%,39.56%
0,第7案,高雄市大寮區,40259,10438,50697,3833,54530,97309,56.04%,41.37%
0,第7案,高雄市大樹區,14634,3834,18468,1480,19948,36772,54.25%,39.8%
0,第7案,高雄市大社區,11644,3867,15511,1271,16782,30046,55.85%,38.75%
0,第7案,高雄市仁武區,31665,8127,39792,2375,42167,73611,57.28%,43.02%
0,第7案,高雄市鳥松區,16980,4996,21976,1467,23443,39191,59.82%,43.33%
0,第7案,高雄市岡山區,37008,9109,46117,3112,49229,81244,60.59%,45.55%
0,第7案,高雄市橋頭區,14112,4123,18235,1669,19904,32565,61.12%,43.33%
0,第7案,高雄市燕巢區,10583,2759,13342,1259,14601,26012,56.13%,40.69%
0,第7案,高雄市田寮區,2119,621,2740,340,3080,6671,46.17%,31.76%
0,第7案,高雄市阿蓮區,9426,2614,12040,871,12911,24534,52.62%,38.42%
0,第7案,高雄市路竹區,18361,5165,23526,1997,25523,43850,58.21%,41.87%
0,第7案,高雄市湖內區,10110,2791,12901,967,13868,25729,53.9%,39.29%
0,第7案,高雄市茄萣區,9361,3019,12380,1344,13724,26212,52.36%,35.71%
0,第7案,高雄市永安區,5315,1565,6880,606,7486,12001,62.38%,44.29%
0,第7案,高雄市彌陀區,7027,1965,8992,1060,10052,16487,60.97%,42.62%
0,第7案,高雄市梓官區,12760,3460,16220,1448,17668,31025,56.95%,41.13%
0,第7案,高雄市旗山區,12737,3373,16110,1400,17510,31996,54.73%,39.81%
0,第7案,高雄市美濃區,13876,3588,17464,1617,19081,35311,54.04%,39.3%
0,第7案,高雄市六龜區,3692,1075,4767,621,5388,11501,46.85%,32.1%
0,第7案,高雄市甲仙區,1893,444,2337,260,2597,5417,47.94%,34.95%
0,第7案,高雄市杉林區,3301,981,4282,451,4733,10607,44.62%,31.12%
0,第7案,高雄市內門區,4181,1233,5414,697,6111,13002,47%,32.16%
0,第7案,高雄市茂林區,809,166,975,79,1054,1615,65.26%,50.09%
0,第7案,高雄市桃源區,1339,305,1644,99,1743,3498,49.83%,38.28%
0,第7案,高雄市那瑪夏區,979,254,1233,144,1377,2424,56.81%,40.39%
0,第7案,新竹縣,191602,45444,237046,12685,249731,445051,56.11%,43.05%
0,第7案,新竹縣竹北市,61066,15029,76095,3506,79601,137129,58.05%,44.53%
0,第7案,新竹縣竹東鎮,32641,7500,40141,2098,42239,78794,53.61%,41.43%
0,第7案,新竹縣新埔鎮,12327,2899,15226,971,16197,28894,56.06%,42.66%
0,第7案,新竹縣關西鎮,10714,2451,13165,803,13968,24712,56.52%,43.36%
0,第7案,新竹縣湖口鄉,27505,6227,33732,1748,35480,63511,55.86%,43.31%
0,第7案,新竹縣新豐鄉,19499,4612,24111,1385,25496,45790,55.68%,42.58%
0,第7案,新竹縣芎林鄉,7631,1895,9526,592,10118,17293,58.51%,44.13%
0,第7案,新竹縣橫山鄉,5073,1166,6239,430,6669,11346,58.78%,44.71%
0,第7案,新竹縣北埔鄉,3535,782,4317,227,4544,8180,55.55%,43.22%
0,第7案,新竹縣寶山鄉,5773,1417,7190,398,7588,12973,58.49%,44.5%
0,第7案,新竹縣峨眉鄉,2238,570,2808,242,3050,5068,60.18%,44.16%
0,第7案,新竹縣尖石鄉,2358,565,2923,210,3133,7364,42.54%,32.02%
0,第7案,新竹縣五峰鄉,1242,331,1573,75,1648,3997,41.23%,31.07%
0,第7案,苗栗縣,198009,47324,245333,15647,260980,461580,56.54%,42.9%
0,第7案,苗栗縣苗栗市,33815,7069,40884,1931,42815,74249,57.66%,45.54%
0,第7案,苗栗縣苑裡鎮,15998,4451,20449,1621,22070,38890,56.75%,41.14%
0,第7案,苗栗縣通霄鎮,11314,3282,14596,1351,15947,29709,53.68%,38.08%
0,第7案,苗栗縣竹南鎮,29221,6996,36217,2120,38337,68528,55.94%,42.64%
0,第7案,苗栗縣頭份市,36143,8496,44639,2330,46969,83617,56.17%,43.22%
0,第7案,苗栗縣後龍鎮,12288,3270,15558,1426,16984,30948,54.88%,39.71%
0,第7案,苗栗縣卓蘭鎮,6482,1521,8003,538,8541,14772,57.82%,43.88%
0,第7案,苗栗縣大湖鄉,5128,1137,6265,458,6723,12653,53.13%,40.53%
0,第7案,苗栗縣公館鄉,12634,3027,15661,1054,16715,28318,59.03%,44.61%
0,第7案,苗栗縣銅鑼鄉,6726,1472,8198,444,8642,15424,56.03%,43.61%
0,第7案,苗栗縣南庄鄉,3104,893,3997,311,4308,8784,49.04%,35.34%
0,第7案,苗栗縣頭屋鄉,4766,1012,5778,308,6086,9390,64.81%,50.76%
0,第7案,苗栗縣三義鄉,6388,1334,7722,413,8135,13889,58.57%,45.99%
0,第7案,苗栗縣西湖鄉,2724,617,3341,184,3525,6382,55.23%,42.68%
0,第7案,苗栗縣造橋鄉,4744,1156,5900,515,6415,11027,58.18%,43.02%
0,第7案,苗栗縣三灣鄉,2464,651,3115,260,3375,5852,57.67%,42.11%
0,第7案,苗栗縣獅潭鄉,1552,324,1876,143,2019,3968,50.88%,39.11%
0,第7案,苗栗縣泰安鄉,2518,616,3134,240,3374,5180,65.14%,48.61%
0,第7案,彰化縣,452334,111030,563364,45223,608587,1066994,57.04%,42.39%
0,第7案,彰化縣彰化市,85910,21752,107662,7322,114984,190995,60.2%,44.98%
0,第7案,彰化縣鹿港鎮,30219,7228,37447,3228,40675,70505,57.69%,42.86%
0,第7案,彰化縣和美鎮,32445,7579,40024,2554,42578,75286,56.56%,43.1%
0,第7案,彰化縣線西鄉,6361,1367,7728,637,8365,14065,59.47%,45.23%
0,第7案,彰化縣伸港鄉,13300,2650,15950,1254,17204,30407,56.58%,43.74%
0,第7案,彰化縣福興鄉,15627,3996,19623,1927,21550,39745,54.22%,39.32%
0,第7案,彰化縣秀水鄉,14290,3569,17859,1289,19148,32394,59.11%,44.11%
0,第7案,彰化縣花壇鄉,16953,4059,21012,1692,22704,38924,58.33%,43.55%
0,第7案,彰化縣芬園鄉,8346,1976,10322,960,11282,20408,55.28%,40.9%
0,第7案,彰化縣員林市,43129,10985,54114,3431,57545,102028,56.4%,42.27%
0,第7案,彰化縣溪湖鎮,19566,4696,24262,1832,26094,45147,57.8%,43.34%
0,第7案,彰化縣田中鎮,14996,3604,18600,1687,20287,35391,57.32%,42.37%
0,第7案,彰化縣大村鄉,13893,3300,17193,1265,18458,31492,58.61%,44.12%
0,第7案,彰化縣埔鹽鄉,12676,2865,15541,1323,16864,28026,60.17%,45.23%
